Date,VWC_30cm_MM1SM,VWC_10cm_MM1SM,VWC_30cm_MMSM3,VWC_30cm_MMSM4,VWC_30cm_MMSM9.2,VWC_10cm_MMSM5,VWC_30cm_MMSM5,VWC_1m_MM1SM,VWC_1m_MMSM5,VWC_10cm_MMSM2,VWC_10cm_MMSM3,VWC_10cm_MMSM4,VWC_30cm_MMSM2,VWC_1m_MMSM3,VWC_75cm_MMSM2,VWC_75cm_MMSM4,WY
2019-04-26,0.5072306547619048,NA,NA,0.47763958333333334,0.2765725297619048,NA,0.48205,0.5051116071428572,0.5152598214285714,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-03,0.5071276785714286,NA,NA,0.4767425595238095,0.27754,NA,0.48297470238095236,0.5031645833333334,0.514928869047619,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-10,0.5076553571428571,NA,NA,0.47500000000000003,0.27754,NA,0.4814541666666667,0.5073502976190476,0.5142497023809524,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-17,0.5068857142857143,NA,NA,0.4741708333333333,0.27754,NA,0.47767202380952384,0.49839464285714286,0.513098511904762,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-24,0.5082464285714285,NA,NA,0.4736,0.27754,NA,0.47259107142857143,0.5102580357142857,0.5120416666666666,NA,NA,NA,NA,NA,NA,NA,2019
2019-05-31,0.5262032738095238,NA,NA,0.47247738095238095,0.27754,NA,0.46272559523809526,0.5157815476190476,0.5106738095238096,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-07,0.5668032738095238,NA,NA,0.4670669642857143,0.27754,NA,0.45059136904761904,0.5170616071428572,0.5079601190476191,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-14,0.5541809523809523,NA,NA,0.3492434523809524,0.27754,NA,0.3803755952380952,0.5087869047619048,0.5045520833333333,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-21,NA,NA,NA,0.28611369047619045,0.27754,NA,0.3285741071428571,NA,0.5000244047619048,NA,NA,NA,NA,NA,NA,NA,2019
2019-06-28,NA,NA,NA,0.2573625,0.27754,NA,0.31123660714285717,NA,0.4944613095238095,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-05,NA,NA,NA,0.23308779761904763,0.27754,NA,0.2993339285714286,NA,0.48540535714285715,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-12,NA,NA,NA,0.19452589285714286,0.27754,NA,0.2746369047619048,NA,0.40118839285714286,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-19,0.31898830409356727,0.18680058479532163,0.7765375,0.15597410714285714,NA,NA,0.21838410041841005,0.3722520467836257,0.34524937238493725,NA,NA,NA,NA,NA,NA,NA,2019
2019-07-26,0.31113958333333336,0.17896220238095237,0.6942556547619048,0.1470607142857143,NA,0.12204821428571429,0.19723720238095238,0.4637169642857143,0.3263389880952381,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-02,0.2925205357142857,0.16717232142857144,0.5577172619047619,0.14482440476190478,NA,0.11296547619047619,0.1923235119047619,0.7184,0.31159107142857145,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-09,0.2692720238095238,0.15360059523809524,0.44733392857142856,0.1434889880952381,NA,0.10768244047619048,0.19027083333333333,0.7184,0.2943443452380952,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-16,0.24014136904761904,0.1385860119047619,0.4370547619047619,0.14278690476190475,NA,0.10262083333333333,0.18777232142857142,0.7184,0.2519401785714286,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-23,0.22340744047619046,0.12628660714285714,0.43029761904761904,0.14198333333333332,NA,0.09859196428571429,0.18486309523809524,0.7184,0.2251032738095238,NA,NA,NA,NA,NA,NA,NA,2019
2019-08-30,0.21210357142857142,0.11762708333333334,0.3737978978978979,0.14093895131086143,NA,0.09451071428571428,0.18190297619047618,0.7184,0.21936904761904763,NA,NA,NA,NA,NA,NA,NA,2019
2019-09-06,0.20438928571428572,0.11186696428571428,0.2282764880952381,NA,NA,0.09217797619047619,0.1798529761904762,0.7184,0.21814196428571428,NA,0.16984791666666665,NA,NA,0.1684190476190476,NA,NA,2019
2019-09-13,0.20309464285714285,0.1214139880952381,0.23188333333333333,NA,NA,0.18830952380952382,0.1804035714285714,0.7184,0.21998392857142857,NA,0.1966577380952381,NA,NA,0.192725,NA,NA,2019
2019-09-20,0.20490565476190475,0.2126095238095238,0.2356940476190476,NA,NA,0.27251130952380953,0.18422232142857142,0.7184,0.22427678571428572,NA,0.2751669642857143,NA,NA,0.206975,NA,NA,2019
2019-09-27,0.20700535714285714,0.21226994047619047,0.24110535714285714,NA,NA,0.2614458333333333,0.19246755952380953,0.7184,0.22695386904761905,NA,0.2628702380952381,NA,NA,0.2115372023809524,NA,NA,2019
2019-10-04,0.20885446428571428,0.21373958333333334,0.24394910714285714,NA,NA,0.2572723214285714,0.19524434523809525,0.7184,0.22888630952380953,NA,0.2584142857142857,NA,NA,0.21637380952380952,NA,NA,2020
2019-10-11,0.20998482142857142,0.2097892857142857,0.24667023809523808,NA,NA,0.24940744047619048,0.19814166666666666,0.7184,0.22936279761904763,NA,0.2531092261904762,NA,NA,0.2192107142857143,NA,NA,2020
2019-10-18,0.21122380952380954,0.20624196428571429,0.24840773809523808,NA,NA,0.24323184523809524,0.20097261904761904,0.7184,0.2301872023809524,NA,0.24824940476190477,NA,NA,0.2219970238095238,NA,NA,2020
